ID,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,back_order
1,0,2,0,6,6,6,0,0,0,0,0,0,0,0.17,0.33,0,1,0,0,1,0,0
2,15,9,0,0,0,0,0,0,0,0,1,0,0,0.7,0.66,0,0,0,0,1,0,0
3,6,12,0,20,20,20,2,6,17,20,0,0,0,0.82,0.79,0,0,0,0,1,0,1
4,1,9,0,10,10,10,2,11,17,19,0,0,0,0.68,0.66,0,0,0,0,1,0,1
5,19,2,0,0,0,0,0,0,1,2,0,0,0,0.98,0.98,0,0,0,0,1,0,0
6,17,4,0,0,0,0,0,0,0,1,0,0,0,0.73,0.78,0,0,0,0,1,0,0
7,0,4,11,0,0,0,0,0,0,0,1,0,0,0.22,0.15,0,1,0,0,1,0,0
8,2,8,0,37,56,75,6,18,30,46,3,0,0,0.99,0.99,0,0,0,0,1,0,1
9,-4,8,1,1699,2367,3739,442,1502,2949,3607,464,0,0,0.65,0.67,9,0,0,1,1,0,1
10,2,8,0,0,0,1,4,10,14,17,0,0,0,0.99,0.98,0,0,0,0,1,0,1
11,25,2,0,525,525,525,30,66,147,230,12,0,0,0.98,0.91,0,0,0,0,1,0,1
12,130,2,0,0,0,0,2,4,4,14,0,0,0,1,0.78,0,1,0,1,1,0,0
13,5,2,0,0,0,0,1,1,1,1,1,0,0,0.98,0.93,0,1,0,0,1,0,0
14,16,12,0,14,14,14,8,9,10,30,5,0,0,0.93,0.89,0,0,0,0,1,0,1
15,25,3,0,0,5,10,0,1,1,2,0,0,0,-99,-99,0,0,0,0,1,0,0
16,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
17,177,2,0,0,0,0,0,1,1,2,1,0,0,-99,-99,0,0,0,0,1,0,0
18,7,2,0,14,28,42,0,8,19,30,0,0,0,1,1,0,0,0,0,1,0,0
19,8,2,2,2,6,8,1,5,7,12,3,0,0,0.99,0.91,0,0,0,0,1,0,1
